phase,run_id,model_family,subgroup,n_cases,n_folds,seed,mean_fold_auc,std_fold_auc,pooled_auc,pooled_ap,cross_seed_mean_auc,cross_seed_std_auc,fold_map_path,config_path,predictions_path,notes
phase0d,logn_lr_fold0,lr,her2_intersection_n68,68,3,42,,,0.7063492063492064,0.7498396027531365,,,data/fold_map_her2.csv,scripts/her2_logn_lr_baseline.py,experiments/her2_phase0/logn_lr/predictions.csv,one-feature LR on log1p(num_points); per-fold AUC row
phase0d,logn_lr_fold1,lr,her2_intersection_n68,68,3,42,,,0.5873015873015872,0.7523868359546108,,,data/fold_map_her2.csv,scripts/her2_logn_lr_baseline.py,experiments/her2_phase0/logn_lr/predictions.csv,one-feature LR on log1p(num_points); per-fold AUC row
phase0d,logn_lr_fold2,lr,her2_intersection_n68,68,3,42,,,0.5357142857142857,0.692338869359546,,,data/fold_map_her2.csv,scripts/her2_logn_lr_baseline.py,experiments/her2_phase0/logn_lr/predictions.csv,one-feature LR on log1p(num_points); per-fold AUC row
phase0d,logn_lr_summary,lr,her2_intersection_n68,68,3,42,0.6097883597883597,0.0714530626247064,0.6025641025641026,0.6925930417856141,,,data/fold_map_her2.csv,scripts/her2_logn_lr_baseline.py,experiments/her2_phase0/logn_lr/predictions.csv,one-feature LR on log1p(num_points); summary (mean over folds + pooled)
phase3_prior,cos_T80__seed123,deepsets,her2_intersection_n68,68,5,123,,,0.6547619047619048,0.7914920854661592,,,,experiments/deepsets_phase3_repeated_cv/cos_T80/runtime_config.yaml,experiments/deepsets_phase3_repeated_cv/cos_T80/seed123/train/.../predictions.csv,Phase 3 repeated-CV winner; HER2 cases restricted to n=68 intersection
phase3_prior,cos_T80__seed7,deepsets,her2_intersection_n68,68,5,7,,,0.554029304029304,0.7200359149166993,,,,experiments/deepsets_phase3_repeated_cv/cos_T80/runtime_config.yaml,experiments/deepsets_phase3_repeated_cv/cos_T80/seed7/train/.../predictions.csv,Phase 3 repeated-CV winner; HER2 cases restricted to n=68 intersection
phase3_prior,h128_d02_lfocal__seed123,deepsets,her2_intersection_n68,68,5,123,,,0.6391941391941391,0.7782125254843327,,,,experiments/deepsets_phase3_repeated_cv/h128_d02_lfocal/runtime_config.yaml,experiments/deepsets_phase3_repeated_cv/h128_d02_lfocal/seed123/train/.../predictions.csv,Phase 3 repeated-CV winner; HER2 cases restricted to n=68 intersection
phase3_prior,h128_d02_lfocal__seed7,deepsets,her2_intersection_n68,68,5,7,,,0.5503663003663003,0.7108985789382574,,,,experiments/deepsets_phase3_repeated_cv/h128_d02_lfocal/runtime_config.yaml,experiments/deepsets_phase3_repeated_cv/h128_d02_lfocal/seed7/train/.../predictions.csv,Phase 3 repeated-CV winner; HER2 cases restricted to n=68 intersection
phase3_prior,h256_d02_lfocal__seed123,deepsets,her2_intersection_n68,68,5,123,,,0.5613553113553112,0.7212685332310761,,,,experiments/deepsets_phase3_repeated_cv/h256_d02_lfocal/runtime_config.yaml,experiments/deepsets_phase3_repeated_cv/h256_d02_lfocal/seed123/train/.../predictions.csv,Phase 3 repeated-CV winner; HER2 cases restricted to n=68 intersection
phase3_prior,h256_d02_lfocal__seed7,deepsets,her2_intersection_n68,68,5,7,,,0.6071428571428572,0.720968321620077,,,,experiments/deepsets_phase3_repeated_cv/h256_d02_lfocal/runtime_config.yaml,experiments/deepsets_phase3_repeated_cv/h256_d02_lfocal/seed7/train/.../predictions.csv,Phase 3 repeated-CV winner; HER2 cases restricted to n=68 intersection
phase3_prior,cos_T80__cross_seed,deepsets,her2_intersection_n68,68,5,cross,,,,,0.6043956043956044,0.0503663003663004,,experiments/deepsets_phase3_repeated_cv/cos_T80/runtime_config.yaml,,Cross-seed summary across 2 seeds
phase3_prior,h128_d02_lfocal__cross_seed,deepsets,her2_intersection_n68,68,5,cross,,,,,0.5947802197802197,0.0444139194139194,,experiments/deepsets_phase3_repeated_cv/h128_d02_lfocal/runtime_config.yaml,,Cross-seed summary across 2 seeds
phase3_prior,h256_d02_lfocal__cross_seed,deepsets,her2_intersection_n68,68,5,cross,,,,,0.5842490842490842,0.0228937728937729,,experiments/deepsets_phase3_repeated_cv/h256_d02_lfocal/runtime_config.yaml,,Cross-seed summary across 2 seeds
phase0e,xgb_vessel_all_fold0,xgb,her2_intersection_n68,68,3,42,,,0.6825396825396826,0.7793241143624776,,,data/fold_map_her2.csv,scripts/her2_xgb_baseline.py,experiments/her2_phase0/xgb_vessel_all/predictions.csv,"XGB vessel_all, HER2-only training (n=68 intersection); per-fold row"
phase0e,xgb_vessel_all_fold1,xgb,her2_intersection_n68,68,3,42,,,0.8015873015873016,0.8894000187274131,,,data/fold_map_her2.csv,scripts/her2_xgb_baseline.py,experiments/her2_phase0/xgb_vessel_all/predictions.csv,"XGB vessel_all, HER2-only training (n=68 intersection); per-fold row"
phase0e,xgb_vessel_all_fold2,xgb,her2_intersection_n68,68,3,42,,,0.5,0.6290879988358979,,,data/fold_map_her2.csv,scripts/her2_xgb_baseline.py,experiments/her2_phase0/xgb_vessel_all/predictions.csv,"XGB vessel_all, HER2-only training (n=68 intersection); per-fold row"
phase0e,xgb_vessel_all_summary,xgb,her2_intersection_n68,68,3,42,0.6613756613756614,0.12402865788075178,0.6446886446886446,0.7232906623733294,,,data/fold_map_her2.csv,scripts/her2_xgb_baseline.py,experiments/her2_phase0/xgb_vessel_all/predictions.csv,"XGB vessel_all, HER2-only training (n=68 intersection); summary. Compare to existing full-cohort 5-fold HER2-stratum AUC 0.6758 from results/model_family_robustness_ispy2_subtype_summary.csv."
